"","year_month","gender","age","monthly_mean_total_spend_by_agegroup"
"184",2020-07-01,"Female","45 - 54 years",505.168651829112
"185",2020-07-01,"Female","55 - 64 years",393.756297968397
"186",2020-07-01,"Female","65 and older",812.569398826979
"187",2020-08-01,"Female","18 - 24 years",400.015741444867
"188",2020-08-01,"Female","25 - 34 years",507.349052870581
"189",2020-08-01,"Female","35 - 44 years",524.6364438211
"190",2020-08-01,"Female","45 - 54 years",560.135851539225
"191",2020-08-01,"Female","55 - 64 years",456.538859934853
"192",2020-08-01,"Female","65 and older",752.62197092084
"193",2020-09-01,"Female","18 - 24 years",368.928192646297
"194",2020-09-01,"Female","25 - 34 years",493.054618314004
"195",2020-09-01,"Female","35 - 44 years",443.917866480739
"196",2020-09-01,"Female","45 - 54 years",468.717565050671
"197",2020-09-01,"Female","55 - 64 years",524.172547119009
"198",2020-09-01,"Female","65 and older",549.555557894737
"199",2020-10-01,"Female","18 - 24 years",378.987892773893
"200",2020-10-01,"Female","25 - 34 years",527.285825545171
"201",2020-10-01,"Female","35 - 44 years",536.746668272319
"202",2020-10-01,"Female","45 - 54 years",541.492497628083
"203",2020-10-01,"Female","55 - 64 years",591.044326791419
"204",2020-10-01,"Female","65 and older",464.802890909091
"205",2020-11-01,"Female","18 - 24 years",514.881107632094
"206",2020-11-01,"Female","25 - 34 years",445.327029506192
"207",2020-11-01,"Female","35 - 44 years",595.887747459279
"208",2020-11-01,"Female","45 - 54 years",577.252914979757
"209",2020-11-01,"Female","55 - 64 years",475.961493658995
"210",2020-11-01,"Female","65 and older",296.57491773309
"211",2020-12-01,"Female","18 - 24 years",663.136117857143
"212",2020-12-01,"Female","25 - 34 years",510.114637149284
"213",2020-12-01,"Female","35 - 44 years",612.159149321267
"214",2020-12-01,"Female","45 - 54 years",645.52913965722
"215",2020-12-01,"Female","55 - 64 years",537.78280044927
"216",2020-12-01,"Female","65 and older",523.327966339411
"217",2021-01-01,"Female","18 - 24 years",682.189170107349
"218",2021-01-01,"Female","25 - 34 years",465.979317343173
"219",2021-01-01,"Female","35 - 44 years",533.289814217718
"220",2021-01-01,"Female","45 - 54 years",429.670044345898
"221",2021-01-01,"Female","55 - 64 years",454.642865701448
"222",2021-01-01,"Female","65 and older",362.357692307692
"223",2021-02-01,"Female","18 - 24 years",548.430266214908
"224",2021-02-01,"Female","25 - 34 years",417.310359028511
"225",2021-02-01,"Female","35 - 44 years",498.63939481268
"226",2021-02-01,"Female","45 - 54 years",417.972459574468
"227",2021-02-01,"Female","55 - 64 years",356.386519928614
"228",2021-02-01,"Female","65 and older",253.478875968992
"229",2021-03-01,"Female","18 - 24 years",460.348580102756
"230",2021-03-01,"Female","25 - 34 years",617.551694893508
"231",2021-03-01,"Female","35 - 44 years",691.351973972426
"232",2021-03-01,"Female","45 - 54 years",618.744993528904
"233",2021-03-01,"Female","55 - 64 years",451.988050559067
"234",2021-03-01,"Female","65 and older",276.973362068966
"235",2021-04-01,"Female","18 - 24 years",561.234345159877
"236",2021-04-01,"Female","25 - 34 years",526.276572496263
"237",2021-04-01,"Female","35 - 44 years",710.538314639057
"238",2021-04-01,"Female","45 - 54 years",588.366680545917
"239",2021-04-01,"Female","55 - 64 years",436.815531578947
"240",2021-04-01,"Female","65 and older",386.864189944134
"241",2021-05-01,"Female","18 - 24 years",449.384325665313
"242",2021-05-01,"Female","25 - 34 years",433.68853697239
"243",2021-05-01,"Female","35 - 44 years",527.932214796394
"244",2021-05-01,"Female","45 - 54 years",590.925302428256
"245",2021-05-01,"Female","55 - 64 years",466.839321266968
"246",2021-05-01,"Female","65 and older",397.290690376569
"247",2021-06-01,"Female","18 - 24 years",485.249930705933
"248",2021-06-01,"Female","25 - 34 years",554.548442774075
"249",2021-06-01,"Female","35 - 44 years",634.505980980249
"250",2021-06-01,"Female","45 - 54 years",691.311962756849
"251",2021-06-01,"Female","55 - 64 years",543.4319087319
"252",2021-06-01,"Female","65 and older",703.306228668942
"253",2021-07-01,"Female","18 - 24 years",421.732105263158
"254",2021-07-01,"Female","25 - 34 years",379.450147035062
"255",2021-07-01,"Female","35 - 44 years",555.476978111728
"256",2021-07-01,"Female","45 - 54 years",479.559615384615
"257",2021-07-01,"Female","55 - 64 years",503.12820525533
"258",2021-07-01,"Female","65 and older",1012.86287009063
"259",2021-08-01,"Female","18 - 24 years",399.658318127727
"260",2021-08-01,"Female","25 - 34 years",453.536071534141
"261",2021-08-01,"Female","35 - 44 years",510.641698692072
"262",2021-08-01,"Female","45 - 54 years",558.882242173112
"263",2021-08-01,"Female","55 - 64 years",464.234589790337
"264",2021-08-01,"Female","65 and older",328.60100990099
"265",2021-09-01,"Female","18 - 24 years",341.503331877729
"266",2021-09-01,"Female","25 - 34 years",399.957207379135
"267",2021-09-01,"Female","35 - 44 years",455.403900769889
"268",2021-09-01,"Female","45 - 54 years",466.321337579618
"269",2021-09-01,"Female","55 - 64 years",423.846222222222
"270",2021-09-01,"Female","65 and older",363.342222222222
"271",2021-10-01,"Female","18 - 24 years",368.610017079419
"272",2021-10-01,"Female","25 - 34 years",398.789965991652
"273",2021-10-01,"Female","35 - 44 years",509.736401350699
"274",2021-10-01,"Female","45 - 54 years",470.161390387445
"275",2021-10-01,"Female","55 - 64 years",456.816565552699
"276",2021-10-01,"Female","65 and older",302.107401247401
"277",2021-11-01,"Female","18 - 24 years",475.553776595745
"278",2021-11-01,"Female","25 - 34 years",488.058370920669
"279",2021-11-01,"Female","35 - 44 years",624.636346153846
"280",2021-11-01,"Female","45 - 54 years",677.369061190277
"281",2021-11-01,"Female","55 - 64 years",578.293590831919
"282",2021-11-01,"Female","65 and older",360.046572934974
"283",2021-12-01,"Female","18 - 24 years",477.386337980279
"284",2021-12-01,"Female","25 - 34 years",524.737124752936
"285",2021-12-01,"Female","35 - 44 years",674.166946820379
"286",2021-12-01,"Female","45 - 54 years",796.238904180286
"287",2021-12-01,"Female","55 - 64 years",548.072192946899
"288",2021-12-01,"Female","65 and older",420.004915492958
"289",2022-01-01,"Female","18 - 24 years",360.645808966862
"290",2022-01-01,"Female","25 - 34 years",497.617276453621
"291",2022-01-01,"Female","35 - 44 years",545.859499059668
"292",2022-01-01,"Female","45 - 54 years",429.261444759207
"293",2022-01-01,"Female","55 - 64 years",423.101017456359
"294",2022-01-01,"Female","65 and older",410.663951473137
"295",2022-02-01,"Female","18 - 24 years",310.69502198339
"296",2022-02-01,"Female","25 - 34 years",411.383720160307
"297",2022-02-01,"Female","35 - 44 years",586.901832979476
"298",2022-02-01,"Female","45 - 54 years",503.859415584416
"299",2022-02-01,"Female","55 - 64 years",411.992687427912
"300",2022-02-01,"Female","65 and older",259.596386768448
"301",2022-03-01,"Female","18 - 24 years",462.317591801879
"302",2022-03-01,"Female","25 - 34 years",438.978544207317
"303",2022-03-01,"Female","35 - 44 years",813.555225558122
"304",2022-03-01,"Female","45 - 54 years",832.785455804293
"305",2022-03-01,"Female","55 - 64 years",445.603316455696
"306",2022-03-01,"Female","65 and older",260.425656565657
"307",2022-04-01,"Female","18 - 24 years",431.158304701627
"308",2022-04-01,"Female","25 - 34 years",498.746709270095
"309",2022-04-01,"Female","35 - 44 years",522.920207296849
"310",2022-04-01,"Female","45 - 54 years",531.342788040836
"311",2022-04-01,"Female","55 - 64 years",624.800607175713
"312",2022-04-01,"Female","65 and older",397.8411205074
"313",2022-05-01,"Female","18 - 24 years",381.737902571042
"314",2022-05-01,"Female","25 - 34 years",515.945203215044
"315",2022-05-01,"Female","35 - 44 years",571.343646066449
"316",2022-05-01,"Female","45 - 54 years",468.999318071115
"317",2022-05-01,"Female","55 - 64 years",465.711999022483
"318",2022-05-01,"Female","65 and older",295.233663157895
"319",2022-06-01,"Female","18 - 24 years",490.536783305228
"320",2022-06-01,"Female","25 - 34 years",505.609154321875
"321",2022-06-01,"Female","35 - 44 years",609.444991559757
"322",2022-06-01,"Female","45 - 54 years",548.246632245952
"323",2022-06-01,"Female","55 - 64 years",568.797477855478
"324",2022-06-01,"Female","65 and older",313.248773784355
"325",2022-07-01,"Female","18 - 24 years",511.393283748605
"326",2022-07-01,"Female","25 - 34 years",543.150257819657
"327",2022-07-01,"Female","35 - 44 years",669.386023622047
"328",2022-07-01,"Female","45 - 54 years",539.318718232044
"329",2022-07-01,"Female","55 - 64 years",658.389406354515
"330",2022-07-01,"Female","65 and older",577.492427350427
"331",2022-08-01,"Female","18 - 24 years",399.786034482759
"332",2022-08-01,"Female","25 - 34 years",489.783682748538
"333",2022-08-01,"Female","35 - 44 years",601.265383701188
"334",2022-08-01,"Female","45 - 54 years",553.684162174304
"335",2022-08-01,"Female","55 - 64 years",468.739885458167
"336",2022-08-01,"Female","65 and older",611.639951923077
"337",2022-09-01,"Female","18 - 24 years",357.607660917122
"338",2022-09-01,"Female","25 - 34 years",394.624784861809
"339",2022-09-01,"Female","35 - 44 years",536.843208072373
"340",2022-09-01,"Female","45 - 54 years",427.565404094828
"341",2022-09-01,"Female","55 - 64 years",415.195739400207
"342",2022-09-01,"Female","65 and older",448.742077051926
"343",2022-10-01,"Female","18 - 24 years",421.706280487805
"344",2022-10-01,"Female","25 - 34 years",458.716868512111
