"","gender","year_month","monthly_spend"
"225","Prefer not to say",2020-07-01,29.85375
"226","Prefer not to say",2020-08-01,10.6915384615385
"227","Prefer not to say",2020-09-01,38.4966666666667
"228","Prefer not to say",2020-10-01,20.771
"229","Prefer not to say",2020-11-01,9.93103448275862
"230","Prefer not to say",2020-12-01,27.52625
"231","Prefer not to say",2021-01-01,33.5045
"232","Prefer not to say",2021-02-01,16.80875
"233","Prefer not to say",2021-03-01,26.6696875
"234","Prefer not to say",2021-04-01,29.6053731343284
"235","Prefer not to say",2021-05-01,33.3560714285714
"236","Prefer not to say",2021-06-01,25.8988235294118
"237","Prefer not to say",2021-07-01,23.3476470588235
"238","Prefer not to say",2021-08-01,24.2506451612903
"239","Prefer not to say",2021-09-01,13.7475
"240","Prefer not to say",2021-10-01,15.6372
"241","Prefer not to say",2021-11-01,21.97
"242","Prefer not to say",2021-12-01,21.2692105263158
"243","Prefer not to say",2022-01-01,20.8844444444444
"244","Prefer not to say",2022-02-01,17.8796428571429
"245","Prefer not to say",2022-03-01,32.536
"246","Prefer not to say",2022-04-01,19.8894736842105
"247","Prefer not to say",2022-05-01,17.4262962962963
"248","Prefer not to say",2022-06-01,26.7771428571429
"249","Prefer not to say",2022-07-01,29.3659090909091
"250","Prefer not to say",2022-08-01,43.4086666666667
"251","Prefer not to say",2022-09-01,15.671875
"252","Prefer not to say",2022-10-01,16.8983783783784
"253","Prefer not to say",2022-11-01,17.3655555555556
"254","Prefer not to say",2022-12-01,25.7465517241379
"255","Prefer not to say",2023-01-01,12.79625
"256","Prefer not to say",2023-02-01,46.074
"257","Prefer not to say",2023-03-01,21.99
