"","year_month","gender","age","monthly_mean_total_spend_by_agegroup"
"368",2023-02-01,"Male","25 - 34 years",391.511386050644
"369",2023-02-01,"Male","35 - 44 years",463.411382042254
"370",2023-02-01,"Male","45 - 54 years",433.798609341826
"371",2023-02-01,"Male","55 - 64 years",410.055173410405
"372",2023-02-01,"Male","65 and older",249.084033149171
"373",2023-03-01,"Male","18 - 24 years",137.893148148148
"374",2023-03-01,"Male","25 - 34 years",238.140566037736
"375",2023-03-01,"Male","35 - 44 years",213.146457489879
"376",2023-03-01,"Male","45 - 54 years",236.677706422018
"377",2023-03-01,"Male","55 - 64 years",194.372048192771
"378",2023-03-01,"Male","65 and older",84.61075
"379",2024-08-01,"Male","18 - 24 years",1.84
